City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Poum,NC,-20.2333,164.0167,79.25,71,96,1.86,overcast clouds
190,Ancud,CL,-45.5752,-72.0662,71.6,40,20,8.05,few clouds
191,Kargil,IN,10.5669,72.642,81.19,67,0,6.78,clear sky
192,Axim,GH,4.8699,-2.2405,81.39,82,100,9.35,overcast clouds
193,Kysyl-Syr,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
194,Locri,IT,38.2414,16.2623,62.6,77,90,18.41,light rain
195,Durban,ZA,-34.5322,20.0403,69.8,56,59,9.22,broken clouds
196,Isla Vista,US,22.0752,-159.319,59.0,77,1,10.36,clear sky
197,Hermanus,ZA,-34.5322,20.0403,69.8,56,59,9.22,broken clouds
198,Hofn,IS,66.0449,-17.3389,32.0,74,75,2.3,broken clouds
199,Flinders,US,42.6001,-73.9662,28.99,75,100,4.45,snow
200,Chokurdakh,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
201,Bengkulu,ID,-9.6567,120.2641,78.13,82,94,5.82,overcast clouds
202,Ye,MM,21.3333,95.1,67.53,42,0,3.53,clear sky
203,Avarua,CK,-21.2078,-159.775,78.8,89,1,3.44,clear sky
204,Marcona,PE,-5.0892,-81.1144,91.4,46,20,13.8,few clouds
205,Gorno-Chuyskiy,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
206,Airai,PW,7.0419,134.2556,75.2,100,90,6.91,overcast clouds
207,Cape Canaveral,US,22.0752,-159.319,59.0,77,1,10.36,clear sky
208,Cabo San Lucas,MX,18.7333,-103.6833,73.4,73,1,5.77,clear sky
209,Gouyave,GD,12.1646,-61.7296,84.2,65,20,23.02,few clouds
210,Pinega,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
211,Carnarvon,US,42.6001,-73.9662,28.99,75,100,4.45,snow
212,Jishou,CN,20.35,110.1288,66.2,100,20,2.24,few clouds
213,Aleksandrovskoye,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
214,Tura,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
215,Bambous Virieux,MU,-20.4081,57.7,80.6,74,20,10.36,few clouds
216,Phonhong,LA,18.5007,102.4166,68.0,83,20,4.61,mist
217,Ketchikan,US,22.0752,-159.319,59.0,77,1,10.36,clear sky
218,Dunedin,NZ,-46.6,168.3333,54.05,85,100,5.1,overcast clouds
219,Limbang,MY,4.75,115.0,80.6,89,75,3.44,broken clouds
220,Christiana,ZA,-34.5322,20.0403,69.8,56,59,9.22,broken clouds
221,Saint George,US,39.1834,-84.5333,21.99,53,1,9.22,clear sky
222,Inuvik,CA,62.456,-114.3525,-47.2,66,1,3.44,clear sky
223,Terre Haute,US,22.0752,-159.319,59.0,77,1,10.36,clear sky
224,Pangnirtung,CA,62.456,-114.3525,-47.2,66,1,3.44,clear sky
225,Lompoc,US,22.0752,-159.319,59.0,77,1,10.36,clear sky
